          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
          (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0) (   0,    0)
         
node   3 sent_total    167  recv_total    194

node   4  (   1,    0) (   0,    0) (   2,    2) (   2,    1) (   1,    0) (   2,    1) (   1,    3) (   2,    2) (   2,    0) (   1,    1)
          (   2,    3) (   2,    0) (   1,    0) (   2,    2) (   1,    1) (   1,    2) (   2,    1) (   1,    0) (   2,    2) (   2,    2)
          (   2,    4) (   2,    1) (   1,    1) (   1,    1) (   2,    1) (   2,    1) (   2,    2) (   1,    3) (   2,    2) (   2,    1)
          (   1,    2) (   2,    1) (   2,    2) (   2,    2) (   2,    2) (   1,    3) (   1,    2) (   2,    3) (   2,    2) (   2,    1)
          (   2,    3) (   2,    2) (   2,    3) (   2,    1) (   2,    1) (   2,    3) (   2,    4) (   2,    4) (   2,    1) (   2,    1)
          (   2,    1) (   2,    1) (   1,    2) (   2,    2) (   1,    1) (   0,    4) (   1,    1) (   1,    0) (   1,    1) (   1,    2)
          (   2,    1) (   1,    3) (   2,    4) (   2,    1) (   2,    1) (   0,    2) (   2,    2) (   1,    2) (   1,    1) (   1,    2)
          (   2,    2) (   2,    4) (   1,    1) (   2,    4) (   2,    1) (   1,    3) (   2,    0) (   2,    0) (   0,    1) (   2,    1)
          (   1,    4) (   1,    3) (   1,    3) (   1,    3) (   2,    1) (   1,    0) (   1,    1) (   2,    0) (   2,    1) (   1,    3)
          (   2,    1) (   2,    3) (   2,    1) (   2,    0) (   1,    5) (   1,    3) (   2,    0) (   2,    1) (   2,    3) (   1,    2)
          (   2,    2) (   2,    2) (   2,    1) (   2,    0) (   2,    2) (   1,    3) (   2,    3) (   2,    0) (   2,    2) (   1,    3)
          (   1,    0) (   2,    1) (   2,    2) (   2,    2) (   2,    3) (   2,    1) (   1,    2) (   2,    3) (   2,    1) (   2,    1)
          (   2,    1) (   2,    0) (   2,    2) (   1,    4) (   2,    2) (   1,    2) (   2,    1) (   1,    3) (   1,    1) (   1,    1)
          (   2,    1) (   1,    4) (   1,    0) (   1,    3) (   2,    0) (   1,    4) (   2,    2) (   2,    2) (   2,    2) (   1,    2)
          (   2,    3) (   1,    1) (   2,    0) (   2,    0) (   2,    1) (   2,    0) (   2,    0) (   1,    3) (   1,    1) (   1,    1)
          (   2,    1) (   2,    1) (   2,    2) (   2,    1) (   2,    2) (   1,    2) (   1,    2) (   2,    3) (   2,    0) (   2,    1)
          (   2,    1) (   2,    0) (   2,    1) (   1,    2) (   2,    1) (   2,    0) (   2,    0) (   2,    2) (   2,    3) (   1,    2)
          (   2,    2) (   1,    5) (   2,    0) (   1,    0) (   1,    1) (   2,    0) (   2,    3) (   2,    3) (   2,    0) (   2,    1)
          (   2,    2) (   2,    3) (   2,    2) (   1,    2) (   1,    2) (   1,    3) (   2,    2) (   2,    2) (   2,    1) (   2,    0)
          (   2,    3) (   2,    0) (   2,    0) (   1,    3) (   2,    1) (   0,    2) (   2,    1) (   2,    0) (   2,    3) (   2,    1)
          (   2,    1) (   0,    1) (   2,    3) (   1,    3) (   2,    3) (   2,    3) (   1,    1) (   2,    1) (   1,    2) (   2,    2)
          (   2,    1) (   1,    6) (   1,    1) (   1,    2) (   1,    2) (   1,    3) (   2,    3) (   1,    2) (   2,    2) (   2,    2)
          (   2,    1) (   2,    0) (   2,    4) (   2,    1) (   1,    1) (   2,    3) (   2,    4) (   2,    2) (   2,    2) (   2,    1)
          (   2,    3) (   2,    3) (   2,    3) (   1,    0) (   0,    2) (   1,    2) (   2,    5) (   2,    3) (   1,    4) (   2,    0)
          (   2,    2) (   2,    1) (   1,    1) (   1,    0) (   1,    0) (   2,    1) (   2,    1) (   2,    3) (   1,    2) (   1,    1)
          (   2,    2) (   2,    1) (   2,    1) (   2,    2) (   1,    0) (   2,    2) (   2,    2) (   2,    2) (   0,    0) (   2,    2)
          (   2,    2) (   0,    2) (   2,    1) (   1,    1) (   0,    1) (   0,    0) (   2,    1) (   1,    1) (   2,    3) (   2,    2)
          (   2,    2) (   1,    1) (   2,    4) (   2,    2) (   1,    1) (   1,    1) (   1,    2) (   1,    0) (   2,    2) (   2,    3)
          (   2,    1) (   2,    1) (   2,    2) (   2,    0) (   1,    1) (   2,    2) (   1,    4) (   2,    2) (   2,    3) (   1,    2)
          (   2,    1) (   1,    0) (   2,    1) (   2,    2) (   2,    1) (   2,    1) (   2,    2) (   2,    1) (   2,    1) (   2,    1)
          (   2,    2) (   2,    2) (   2,    3) (   2,    2) (   2,    1) (   2,    1) (   2,    3) (   2,    2) (   2,    2) (   2,    3)
          (   2,    1) (   2,    4) (   2,    1) (   2,    1) (   2,    2) (   2,    3) (   2,    3) (   2,    1) (   2,    3) (   2,    1)
          (   2,    1) (   2,    1) (   2,    2) (   2,    1) (   2,    2) (   2,    1) (   2,    3) (   2,    4) (   2,    1) (   2,    0)
          (   2,    2) (   2,    2) (   2,    2) (   2,    2) (   2,    2) (   2,    2) (   2,    2) (   2,    4) (   2,    4) (   2,    0)
          (   2,    0) (   2,    3) (   2,    2) (   2,    3) (   1,    1) (   2,    2) (   2,    1) (   2,    2) (   2,    2) (   2,    2)
          (   2,    2) (   2,    2) (   2,    2) (   2,    2) (   2,    1) (   2,    2) (   2,    1) (   2,    1) (   2,    2) (   2,    2)
          (   2,    1) (   2,    1) (   2,    1) (   2,    3) (   2,    1) (   2,    4) (   2,    5) (   2,    1) (   2,    2) (   2,    2)
          (   1,    2) (   2,    3) (   1,    2) (   2,    2) (   1,    2) (   2,    2) (   2,    5) (   2,    1) (   2,    2) (   2,    2)
          (   2,    2) (   1,    3) (   2,    1) (   2,    3) (   2,    1) (   2,    1) (   2,    3) (   2,    2) (   2,    4) (   2,    3)
          (   2,    3) (   2,    1) (   2,    2) (   2,    0) (   2,    2) (   2,    2) (   2,    1) (   2,    1) (   2,    1) (   2,    0)
          (   1,    1) (   2,    2) (   2,    3) (   2,    3) (   2,    2) (   2,    2) (   2,    4) (   2,    3) (   2,    1) (   2,    2)
          (   2,    3) (   2,    2) (   2,    3) (   2,    1) (   1,    4) (   1,    1) (   2,    3) (   2,    1) (   2,    3) (   2,    3)
          (   2,    2) (   2,    3) (   2,    2) (   2,    1) (   2,    1) (   2,    0) (   1,    4) (   2,    1) (   2,    2) (   1,    0)
          (   2,    1) (   2,    2) (   2,    1) (   2,    1) (   1,    2) (   2,    4) (   2,    1) (   2,    2) (   2,    3) (   2,    1)
          (   2,    2) (   2,    2) (   2,    1) (   1,    0) (   2,    1) (   2,    1) (   1,    1) (   2,    2) (   2,    3) (   2,    4)
          (   2,    1) (   2,    2) (   2,    2) (   2,    3) (   2,    0) (   2,    2) (   2,    4) (   1,    1) (   2,    1) (   2,    3)
          (   2,    1) (   2,    0) (   1,    2) (   2,    4) (   2,    2) (   1,    3) (   1,    1) (   2,    2) (   2,    4) (   2,    4)
          (   1,    1) (   2,    0) (   2,    3) (   2,    2) (   2,    0) (   2,    1) (   2,    1) (   2,    1) (   2,    1) (   2,    1)
          (   2,    2) (   2,    5) (   2,    3) (   2,    2) (   2,    2) (   2,    1) (   2,    1) (   2,    3) (   2,    0) (   2,    1)
          (   2,    1) (   2,    3) (   2,    0) (   2,    4) (   2,    1) (   2,    2) (   2,    3) (   2,    1) (   2,    1) (   2,    1)
          (   2,    2) (   2,    1) (   2,    2) (   2,    2) (   2,    2) (   2,    1) (   2,    1) (   2,    3) (   2,    0) (   2,    3)
          (   2,    2) (   2,    1) (   2,    2) (   2,    1) (   2,    2) (   2,    0) (   2,    3) (   2,    2) (   2,    2) (   2,    1)
          (   2,    2) (   2,    2) (   2,    1) (   2,    3) (   2,    2) (   2,    2) (   2,    4) (   2,    1) (   2,    1) (   2,    1)
          (   2,    1) (   2,    1) (   2,    1) (   2,    1) (   2,    1) (   2,    1) (   2,    2) (   2,    1) (   2,    2) (   2,    2)
          (   1,    3) (   2,    3) (   2,    3) (   1,    2) (   2,    0) (   2,    3) (   2,    2) (   1,    0) (   2,    1) (   1,    3)
          (   1,    1) (   2,    1) (   2,    3) (   2,    1) (   2,    0) (   2,    5) (   2,    2) (   2,    2) (   2,    3) (   2,    3)
          (   2,    2) (   2,    2) (   2,    3) (   2,    1) (   2,    3) (   2,    1) (   2,    3) (   2,    4) (   2,    0) (   2,    1)
          (   2,    2) (   2,    6) (   2,    1) (   2,    3) (   2,    2) (   1,    1) (   2,    1) (   2,    0) (   1,    1) (   2,    0)
          (   2,    3) (   2,    3) (   2,    3) (   2,    3) (   1,    1) (   2,    0) (   2,    4) (   2,    0) (   2,    0) (   2,    3)
          (   2,    2) (   2,    2) (   2,    1) (   2,    2) (   2,    2) (   2,    0) (   2,    1) (   2,    1) (   1,    4) (   2,    0)
          (   2,    1) (   2,    1) (   2,    4) (   2,    2) (   2,    6) (   2,    2) (   2,    0) (   2,    0) (   2,    1) (   2,    0)
          (   2,    1) (   2,    2) (   2,    1) (   2,    2) (   2,    2) (   2,    2) (   2,    1) (   2,    4) (   2,    1) (   2,    5)
          (   2,    3) (   1,    1) (   2,    2) (   2,    1) (   2,    1) (   2,    2) (   2,    3) (   1,    2) (   1,    2) (   2,    2)
          (   2,    2) (   1,    0) (   2,    1) (   2,    2) (   2,    4) (   2,    1) (   2,    1) (   2,    1) (   2,    1) (   2,    3)
          (   2,    0) (   2,    2) (   2,    0) (   2,    3) (   2,    1) (   1,    4) (   2,    2) (   2,    3) (   2,    5) (   2,    1)
          (   2,    2) (   2,    1) (   2,    0) (   2,    1) (   2,    2) (   2,    0) (   2,    2) (   2,    2) (   2,    2) (   2,    5)
          (   2,    2) (   2,    3) (   2,    4) (   1,    2) (   2,    0) (   2,    2) (   2,    3) (   2,    3) (   2,    1) (   2,    1)
          (   2,    2) (   2,    2) (   2,    1) (   2,    0) (   2,    2) (   2,    1) (   2,    2) (   2,    0) (   2,    1) (   1,    2)
          (   2,    3) (   2,    1) (   2,    1) (   2,    3) (   1,    2) (   2,    1) (   1,    2) (   2,    2) (   2,    2) (   1,    0)
          (   1,    2) (   2,    1) (   2,    2) (   2,    3) (   2,    2) (   2,    3) (   2,    2) (   2,    4) (   2,    2) (   2,    2)
         
node   4 sent_total   1245  recv_total   1248

node   5  (   0,    0) (   1,    0) (   0,    0) (   0,    1) (   0,    0) (   0,    0) (   0,    0) (   2,    2) (   2,    4) (   2,    0)
          (   2,    2) (   1,    1) (   2,    2) (   2,    1) (   1,    3) (   1,    2) (   2,    2) (   2,    5) (   2,    1) (   2,    2)
          (   2,    2) (   1,    1) (   2,    0) (   2,    3) (   1,    3) (   2,    4) (   2,    2) (   2,    1) (   2,    0) (   2,    2)
          (   1,    3) (   2,    2) (   2,    1) (   2,    1) (   1,    1) (   2,    2) (   2,    0) (   2,    1) (   2,    2) (   1,    0)
          (   2,    1) (   1,    3) (   2,    1) (   1,    0) (   2,    3) (   2,    0) (   2,    1) (   1,    1) (   1,    1) (   2,    3)
          (   1,    2) (   1,    1) (   2,    2) (   2,    1) (   2,    2) (   2,    0) (   1,    0) (   2,    3) (   2,    1) (   1,    3)
          (   1,    2) (   2,    2) (   1,    0) (   2,    1) (   2,    1) (   2,    1) (   2,    2) (   1,    2) (   2,    0) (   2,    0)
          (   2,    1) (   1,    2) (   1,    3) (   2,    1) (   2,    3) (   1,    1) (   1,    1) (   2,    2) (   2,    1) (   2,    0)
          (   2,    3) (   1,    0) (   2,    1) (   2,    1) (   1,    2) (   1,    2) (   2,    2) (   2,    1) (   1,    2) (   1,    0)
          (   2,    2) (   2,    2) (   2,    2) (   2,    1) (   2,    1) (   1,    1) (   2,    3) (   2,    5) (   2,    1) (   2,    2)
          (   2,    1) (   2,    0) (   2,    1) (   1,    1) (   2,    3) (   1,    0) (   2,    1) (   2,    0) (   2,    1) (   2,    1)
          (   1,    2) (   2,    0) (   2,    0) (   1,    1) (   2,    2) (   2,    1) (   2,    1) (   2,    1) (   2,    2) (   2,    2)
          (   1,    3) (   2,    1) (   2,    2) (   1,    1) (   2,    2) (   2,    2) (   2,    3) (   1,    1) (   1,    3) (   2,    1)
          (   2,    1) (   2,    3) (   2,    4) (   2,    0) (   1,    1) (   2,    1) (   2,    2) (   1,    0) (   2,    0) (   2,    0)
          (   1,    1) (   2,    2) (   2,    3) (   1,    4) (   1,    2) (   1,    2) (   2,    0) (   2,    1) (   1,    1) (   2,    2)
          (   2,    2) (   2,    2) (   2,    3) (   2,    0) (   1,    1) (   2,    2) (   2,    2) (   1,    2) (   2,    2) (   1,    1)
          (   2,    1) (   2,    2) (   2,    2) (   2,    0) (   1,    0) (   1,    2) (   1,    3) (   1,    1) (   2,    0) (   1,    4)
          (   2,    2) (   1,    2) (   2,    2) (   2,    2) (   2,    3) (   2,    3) (   2,    0) (   2,    2) (   2,    3) (   1,    2)
          (   2,    3) (   2,    1) (   2,    3) (   1,    2) (   2,    2) (   2,    1) (   2,    2) (   1,    1) (   2,    2) (   2,    1)
          (   1,    2) (   2,    2) (   2,    2) (   2,    1) (   1,    0) (   2,    0) (   1,    1) (   2,    1) (   1,    2) (   2,    1)
          (   1,    1) (   1,    3) (   1,    1) (   2,    3) (   1,    0) (   2,    2) (   1,    0) (   2,    1) (   2,    3) (   2,    3)
          (   1,    1) (   2,    0) (   0,    1) (   2,    3) (   2,    2) (   2,    1) (   1,    0) (   2,    1) (   2,    2) (   1,    1)
          (   0,    1) (   2,    3) (   2,    1) (   2,    2) (   2,    2) (   2,    2) (   2,    1) (   2,    3) (   1,    1) (   2,    4)
          (   2,    1) (   1,    2) (   2,    2) (   0,    1) (   2,    0) (   2,    2) (   2,    2) (   1,    0) (   2,    1) (   2,    3)
          (   2,    2) (   2,    2) (   2,    1) (   2,    1) (   2,    3) (   2,    2) (   2,    3) (   2,    1) (   2,    1) (   2,    2)
          (   2,    0) (   2,    2) (   1,    3) (   2,    3) (   2,    1) (   2,    1) (   2,    3) (   2,    2) (   2,    0) (   2,    0)
          (   2,    2) (   2,    0) (   2,    0) (   1,    2) (   0,    1) (   2,    0) (   2,    0) (   2,    2) (   1,    1) (   2,    1)
          (   2,    1) (   0,    0) (   2,    0) (   2,    2) (   1,    4) (   1,    2) (   2,    2) (   2,    2) (   2,    1) (   2,    1)
          (   2,    2) (   2,    2) (   1,    3) (   2,    2) (   2,    0) (   2,    0) (   1,    1) (   2,    2) (   2,    2) (   2,    0)
          (   2,    1) (   1,    2) (   2,    1) (   2,    1) (   2,    2) (   2,    3) (   1,    2) (   2,    3) (   0,    2) (   1,    2)
          (   2,    1) (   2,    3) (   2,    2) (   2,    2) (   2,    1) (   2,    1) (   2,    2) (   2,    1) (   2,    2) (   2,    1)
          (   2,    1) (   2,    1) (   2,    2) (   2,    4) (   2,    0) (   2,    1) (   2,    1) (   2,    2) (   2,    1) (   2,    2)
          (   2,    0) (   2,    1) (   2,    3) (   2,    2) (   2,    0) (   2,    3) (   2,    1) (   2,    0) (   2,    1) (   2,    3)
          (   2,    1) (   2,    3) (   2,    1) (   2,    3) (   2,    3) (   1,    1) (   2,    1) (   2,    0) (   2,    0) (   1,    4)
          (   2,    2) (   2,    1) (   2,    0) (   2,    0) (   2,    1) (   2,    1) (   2,    3) (   2,    2) (   2,    2) (   2,    3)
          (   1,    3) (   1,    1) (   2,    1) (   1,    2) (   2,    3) (   2,    1) (   2,    3) (   2,    1) (   2,    2) (   2,    1)
          (   2,    1) (   2,    2) (   2,    3) (   2,    2) (   2,    1) (   2,    3) (   2,    2) (   2,    2) (   2,    1) (   1,    1)
          (   2,    4) (   2,    1) (   2,    3) (   2,    3) (   2,    2) (   2,    1) (   2,    1) (   2,    3) (   2,    1) (   2,    1)
          (   2,    1) (   2,    3) (   2,    2) (   2,    1) (   2,    1) (   2,    2) (   2,    1) (   1,    3) (   2,    0) (   2,    1)
          (   2,    2) (   2,    1) (   1,    1) (   2,    4) (   2,    3) (   2,    2) (   2,    3) (   1,    3) (   1,    2) (   1,    2)
          (   2,    2) (   2,    0) (   1,    2) (   2,    2) (   2,    2) (   2,    0) (   2,    2) (   2,    1) (   1,    3) (   2,    2)
          (   2,    3) (   2,    1) (   2,    1) (   2,    0) (   1,    1) (   2,    2) (   2,    2) (   2,    1) (   2,    3) (   2,    1)
          (   2,    2) (   2,    2) (   2,    3) (   2,    1) (   2,    3) (   2,    1) (   2,    2) (   2,    3) (   2,    1) (   1,    2)
          (   2,    3) (   2,    0) (   2,    1) (   2,    4) (   2,    1) (   2,    1) (   2,    2) (   2,    0) (   2,    1) (   2,    1)
          (   2,    1) (   2,    2) (   2,    3) (   2,    1) (   2,    0) (   2,    2) (   2,    1) (   1,    1) (   2,    1) (   1,    0)
          (   2,    1) (   2,    4) (   2,    1) (   1,    1) (   2,    0) (   2,    1) (   2,    2) (   2,    3) (   2,    1) (   2,    2)
          (   1,    1) (   2,    2) (   2,    3) (   2,    2) (   2,    2) (   2,    3) (   2,    1) (   2,    0) (   2,    0) (   2,    2)
          (   2,    2) (   1,    3) (   2,    1) (   2,    2) (   2,    3) (   2,    1) (   2,    1) (   2,    2) (   2,    1) (   2,    1)
          (   2,    0) (   2,    1) (   1,    2) (   1,    0) (   2,    1) (   2,    1) (   1,    1) (   2,    3) (   2,    1) (   2,    2)
          (   2,    0) (   2,    5) (   2,    2) (   2,    1) (   2,    1) (   2,    1) (   2,    1) (   2,    4) (   2,    1) (   2,    2)
          (   2,    2) (   2,    2) (   2,    3) (   2,    3) (   2,    2) (   1,    1) (   2,    2) (   2,    1) (   2,    3) (   2,    0)
          (   2,    0) (   2,    2) (   2,    3) (   1,    3) (   2,    2) (   2,    2) (   2,    1) (   2,    1) (   2,    1) (   1,    2)
          (   2,    1) (   2,    0) (   2,    2) (   2,    0) (   2,    3) (   1,    1) (   2,    1) (   2,    2) (   2,    4) (   2,    2)
          (   2,    2) (   2,    3) (   2,    2) (   2,    2) (   2,    1) (   2,    4) (   2,    3) (   2,    2) (   2,    4) (   2,    2)
          (   2,    1) (   2,    1) (   1,    3) (   2,    4) (   2,    1) (   2,    0) (   2,    4) (   1,    1) (   2,    0) (   2,    3)
          (   2,    3) (   2,    0) (   2,    1) (   2,    5) (   2,    2) (   1,    0) (   2,    2) (   2,    3) (   2,    2) (   1,    1)
          (   2,    1) (   2,    1) (   2,    3) (   2,    1) (   2,    1) (   2,    1) (   2,    3) (   2,    0) (   2,    0) (   2,    5)
          (   2,    2) (   1,    1) (   1,    2) (   2,    1) (   2,    1) (   2,    1) (   2,    3) (   2,    2) (   2,    0) (   2,    3)
          (   2,    3) (   2,    1) (   2,    1) (   2,    1) (   2,    1) (   2,    1) (   2,    1) (   2,    0) (   1,    1) (   2,    2)
          (   1,    2) (   2,    0) (   2,    0) (   1,    2) (   2,    2) (   2,    2) (   2,    1) (   2,    3) (   1,    2) (   2,    3)
          (   1,    4) (   1,    2) (   2,    0) (   2,    3) (   2,    2) (   2,    1) (   2,    2) (   2,    1) (   1,    1) (   2,    4)
          (   2,    1) (   2,    0) (   2,    2) (   2,    2) (   2,    1) (   2,    1) (   2,    4) (   1,    0) (   2,    2) (   2,    1)
          (   2,    1) (   2,    2) (   2,    2) (   2,    0) (   2,    4) (   1,    2) (   2,    2) (   2,    2) (   2,    0) (   2,    2)
          (   1,    3) (   2,    2) (   2,    1) (   2,    2) (   1,    1) (   2,    3) (   2,    3) (   2,    4) (   2,    0) (   2,    1)
          (   2,    2) (   1,    3) (   2,    2) (   2,    1) (   2,    4) (   1,    1) (   2,    0) (   2,    2) (   2,    1) (   2,    2)
          (   2,    2) (   2,    2) (   2,    4) (   2,    1) (   2,    1) (   2,    0) (   1,    1) (   2,    0) (   2,    1) (   2,    2)
          (   2,    2) (   2,    1) (   2,    0) (   2,    3) (   2,    3) (   2,    3) (   2,    3) (   2,    1) (   2,    3) (   2,    3)
          (   1,    2) (   2,    1) (   2,    2) (   2,    4) (   2,    2) (   2,    2) (   2,    2) (   2,    1) (   2,    2) (   2,    1)
          (   2,    0) (   2,    2) (   2,    3) (   2,    2) (   2,    2) (   2,    4) (   2,    1) (   2,    0) (   2,    1) (   2,    1)
          (   2,    2) (   2,    2) (   2,    1) (   1,    1) (   2,    0) (   2,    3) (   2,    3) (   2,    2) (   2,    4) (   2,    3)
         
node   5 sent_total   1245  recv_total   1137

node   6  (   0,    0) (   1,    0) (   0,    0) (   0,    1) (   0,    0) (   2,    1) (   2,    1) (   2,    2) (   2,    0) (   2,    1)
          (   1,    1) (   2,    2) (   2,    3) (   2,    3) (   2,    1) (   2,    3) (   1,    4) (   2,    3) (   2,    1) (   2,    1)
          (   2,    1) (   2,    0) (   1,    3) (   2,    3) (   1,    2) (   1,    2) (   2,    2) (   2,    1) (   2,    2) (   2,    2)
          (   2,    2) (   2,    4) (   2,    3) (   2,    1) (   1,    2) (   2,    3) (   2,    3) (   2,    2) (   2,    3) (   2,    1)
          (   2,    3) (   2,    2) (   2,    5) (   1,    2) (   2,    4) (   2,    3) (   2,    1) (   1,    2) (   2,    4) (   2,    2)
          (   2,    3) (   1,    3) (   2,    3) (   1,    1) (   2,    2) (   2,    2) (   1,    3) (   2,    3) (   2,    1) (   2,    0)
          (   1,    2) (   2,    1) (   2,    4) (   2,    1) (   2,    1) (   1,    2) (   2,    1) (   2,    1) (   2,    3) (   2,    4)
          (   2,    4) (   1,    0) (   1,    3) (   2,    3) (   2,    1) (   2,    2) (   2,    3) (   2,    2) (   2,    0) (   2,    1)
          (   1,    2) (   2,    2) (   2,    3) (   0,    4) (   2,    3) (   2,    1) (   2,    1) (   2,    4) (   2,    0) (   1,    3)
          (   1,    3) (   2,    1) (   2,    1) (   1,    1) (   2,    4) (   2,    2) (   1,    2) (   2,    1) (   2,    1) (   2,    0)
          (   0,    0) (   1,    3) (   2,    2) (   2,    0) (   2,    1) (   1,    0) (   2,    3) (   1,    0) (   2,    1) (   2,    0)
          (   2,    2) (   2,    1) (   2,    2) (   2,    2) (   2,    0) (   1,    2) (   2,    2) (   2,    0) (   2,    3) (   2,    4)
          (   1,    2) (   2,    3) (   2,    3) (   2,    2) (   2,    2) (   1,    2) (   2,    3) (   2,    2) (   2,    2) (   0,    4)
          (   2,    2) (   2,    1) (   1,    0) (   1,    2) (   2,    1) (   2,    2) (   2,    3) (   2,    1) (   2,    0) (   2,    2)
          (   1,    1) (   2,    1) (   2,    3) (   2,    3) (   1,    3) (   1,    1) (   1,    0) (   2,    3) (   2,    2) (   2,    4)
          (   2,    3) (   2,    1) (   1,    2) (   2,    3) (   2,    3) (   1,    2) (   2,    1) (   1,    1) (   1,    1) (   2,    5)
          (   2,    1) (   2,    1) (   1,    3) (   2,    0) (   1,    4) (   1,    0) (   2,    0) (   2,    3) (   1,    2) (   2,    1)
          (   2,    2) (   2,    2) (   2,    1) (   2,    1) (   2,    4) (   1,    0) (   2,    3) (   2,    3) (   2,    2) (   2,    1)
          (   2,    0) (   1,    6) (   2,    1) (   2,    2) (   2,    4) (   2,    3) (   1,    0) (   2,    3) (   0,    3) (   2,    2)
          (   2,    3) (   1,    2) (   2,    2) (   1,    3) (   2,    1) (   2,    4) (   2,    2) (   2,    5) (   2,    1) (   2,    2)
          (   2,    6) (   2,    2) (   2,    0) (   2,    1) (   2,    1) (   2,    2) (   1,    3) (   1,    3) (   2,    3) (   0,    1)
          (   2,    1) (   1,    4) (   1,    3) (   1,    1) (   1,    0) (   1,    3) (   2,    2) (   2,    1) (   1,    1) (   1,    1)
          (   2,    3) (   2,    1) (   1,    1) (   2,    3) (   2,    2) (   2,    2) (   2,    2) (   2,    2) (   2,    1) (   1,    1)
          (   2,    3) (   2,    2) (   2,    1) (   1,    0) (   1,    1) (   2,    1) (   1,    1) (   2,    1) (   2,    2) (   1,    3)
          (   2,    1) (   1,    2) (   2,    3) (   2,    2) (   2,    1) (   2,    1) (   1,    2) (   2,    1) (   1,    3) (   1,    4)
          (   1,    2) (   2,    2) (   2,    1) (   2,    1) (   2,    1) (   2,    0) (   1,    2) (   2,    1) (   2,    3) (   1,    2)
          (   2,    1) (   2,    0) (   1,    2) (   2,    0) (   2,    1) (   2,    1) (   2,    1) (   2,    3) (   2,    1) (   1,    3)
          (   2,    3) (   1,    4) (   2,    1) (   2,    1) (   2,    2) (   2,    1) (   1,    2) (   2,    1) (   2,    1) (   1,    3)
          (   2,    1) (   2,    2) (   1,    2) (   2,    1) (   2,    5) (   2,    4) (   2,    1) (   2,    0) (   2,    2) (   2,    2)
          (   2,    1) (   2,    2) (   2,    3) (   2,    1) (   1,    2) (   1,    2) (   2,    1) (   2,    1) (   2,    3) (   2,    2)
          (   2,    1) (   1,    2) (   2,    2) (   2,    1) (   2,    0) (   2,    2) (   2,    4) (   2,    3) (   2,    1) (   2,    1)
          (   2,    0) (   2,    1) (   2,    2) (   1,    2) (   2,    4) (   2,    1) (   2,    4) (   2,    1) (   2,    2) (   2,    1)
          (   2,    2) (   2,    3) (   2,    2) (   2,    4) (   2,    3) (   2,    2) (   2,    4) (   2,    2) (   2,    2) (   2,    1)
          (   2,    2) (   2,    1) (   2,    2) (   2,    1) (   2,    3) (   2,    5) (   1,    2) (   2,    2) (   2,    3) (   2,    1)
          (   2,    1) (   2,    2) (   2,    1) (   1,    4) (   2,    4) (   1,    3) (   2,    3) (   2,    3) (   2,    5) (   2,    1)
          (   2,    0) (   2,    2) (   2,    1) (   2,    3) (   2,    1) (   2,    1) (   2,    2) (   2,    3) (   2,    1) (   2,    1)
